sg_id,iter,num_nodes,num_edges,stage0_CPU_wall_ms,stage0_CPU_device_ms,stage0_CPU_compute_ms,stage1_GPU_wall_ms,stage1_GPU_device_ms,stage1_GPU_compute_ms,stage1_NPU_wall_ms,stage1_NPU_device_ms,stage1_NPU_compute_ms,partition_ms,merge_ms,total_ms
0,0,81380,279839,841.3211000151932,1150.366,1116.9389999999999,150.83140006754547,78.053,11.885,528.1376999337226,460.592,409.995,0.0,20.399699918925762,1540.7772000180557
0,1,81380,279839,953.0076999217272,1037.624,1008.2860000000002,154.8496000468731,78.851,11.782,523.5862999688834,460.592,409.995,0.0,23.921400075778365,1655.4736000252888
0,2,81380,279839,958.3328000735492,978.6280000000002,952.9160000000002,179.16499997954816,80.109,11.68,562.0745999040082,460.592,409.995,0.0,19.300600048154593,1718.9620999852195
1,0,61287,131659,475.8967999368906,767.0389999999999,746.2119999999999,114.83450001105666,73.57600000000001,10.969,487.55389999132603,460.592,409.995,0.0,14.813399990089238,1093.1817999808118
1,1,61287,131659,513.4238000027835,716.3130000000001,696.846,109.27230003289878,71.211,10.598,574.2326999315992,460.592,409.995,0.0,14.74479993339628,1211.7499000160024
1,2,61287,131659,421.9565000385046,665.9240000000002,647.1130000000002,108.93149999901652,69.65,10.411,475.1322000520304,460.592,409.995,0.0,15.18360001500696,1021.2927999673411
2,0,53027,105627,334.2663999646902,580.927,563.867,96.81000001728535,64.65899999999999,9.963,489.02970005292445,460.592,409.995,0.0,12.889100005850196,933.0769999651238
2,1,53027,105627,389.549900079146,555.8559999999999,539.4199999999998,96.53260000050068,62.886,9.835,500.1403000205755,460.592,409.995,0.0,17.833400052040815,1004.1336001595482
2,2,53027,105627,412.07009996287525,536.986,520.832,99.78879999835044,62.95,9.777000000000001,495.2428999822587,460.592,409.995,0.0,12.577399960719049,1019.752100110054
3,0,47876,91656,502.67319998238236,504.3309999999999,489.29599999999994,84.59960005711764,60.40400000000001,9.549,588.3268000325188,460.592,409.995,0.0,14.572500018402934,1190.2554999105632
3,1,47876,91656,295.4311999492347,485.101,470.487,84.15999996941537,59.293000000000006,9.396,488.16800001077354,460.592,409.995,0.0,11.967099970206618,879.8049999168143
3,2,47876,91656,365.45670009218156,472.56999999999994,458.3159999999999,98.79199997521937,58.33800000000001,9.277000000000001,499.9606000492349,460.592,409.995,0.0,11.119000031612813,975.4065001616254
4,0,44460,82764,251.422300003469,439.53400000000005,425.88300000000004,88.95829995162785,55.638999999999996,9.083,512.4768000096083,460.592,409.995,0.0,11.580600054003298,864.5121000008658
4,1,44460,82764,281.5574000123888,425.92599999999993,412.63399999999996,86.30400011315942,54.604000000000006,8.918000000000001,516.4183999877423,460.592,409.995,0.0,10.556699940934777,894.9271000456065
4,2,44460,82764,259.57340002059937,413.438,400.403,86.78060001693666,53.556,8.774,534.5271000405774,460.592,409.995,0.0,9.859399986453354,890.8228001091629
5,0,41181,74900,234.1276000952348,390.19399999999996,377.72999999999996,72.4542000098154,51.823,8.579999999999998,497.37829994410276,460.592,409.995,0.0,12.450400041416287,816.4876000955701
5,1,41181,74900,250.9600999765098,381.03800000000007,368.8430000000001,79.84020002186298,51.046,8.496,509.7958999685943,460.592,409.995,0.0,9.344800026156008,850.0188000034541
5,2,41181,74900,245.95410004258156,372.28499999999997,360.33399999999995,77.46929989662021,50.365,8.448,479.7073999652639,460.592,409.995,0.0,8.474899921566248,811.6873000981286
6,0,39214,69793,234.52180007006973,356.394,344.774,69.32369992136955,48.95399999999999,8.254,493.14769997727126,460.592,409.995,0.0,8.762000012211502,805.8311999775469
6,1,39214,69793,232.94389992952347,349.28399999999993,337.9289999999999,69.52819996513426,48.261,8.158,495.4721999820322,460.592,409.995,0.0,9.321499965153635,807.3509999085218
6,2,39214,69793,237.4251999426633,342.87199999999996,331.7269999999999,70.47740009147674,47.653999999999996,8.054,513.0989999743178,460.592,409.995,0.0,10.561199975199997,831.633499939926
7,0,36692,63518,199.78209992405027,328.49100000000004,317.617,66.70470000244677,46.925000000000004,7.871999999999999,490.6021000351757,460.592,409.995,0.0,9.66310000512749,766.8259999481961
7,1,36692,63518,206.0350999236107,322.336,311.60400000000004,67.45460000820458,46.568999999999996,7.795,491.26899999100715,460.592,409.995,0.0,7.978799985721707,772.8144999127835
7,2,36692,63518,224.34079996310174,317.2800000000001,306.69900000000007,63.77649994101375,46.159,7.738,493.948100018315,460.592,409.995,0.0,8.261300041340292,790.3998999390751
